Name,Location
"Autodromo Nazionale Monza",Italy
"Bahrain International Circuit",Bahrain
"Circuit de Spa-Francorchamps",Belgium
"Circuit Gilles Villeneuve",Canada
"Circuit of the Americas",USA
Hungaroring,Hungary
"Silverstone Circuit",UK
"Sochi Autodrom",Russia
"Suzuka Circuit",Japan
"Yas Marina Circuit",UAE
