Track_name,Event_name
"Yas Marina Circuit","Abu Dhabi Grand Prix"
"Bahrain International Circuit","Bahrain Grand Prix"
"Circuit de Spa-Francorchamps","Belgian Grand Prix"
"Silverstone Circuit","British Grand Prix"
"Circuit Gilles Villeneuve","Canadian Grand Prix"
Hungaroring,"Hungarian Grand Prix"
"Autodromo Nazionale Monza","Italian Grand Prix"
"Suzuka Circuit","Japanese Grand Prix"
"Sochi Autodrom","Russian Grand Prix"
"Circuit of the Americas","United States Grand Prix"
